Site,Users,Hosts Needed,Subnet,Subnet Mask,Block Size,Network IP,First Usable IP,Broadcast IP,Next Network IP
1,96,126,/25,255.255.255.128,128,192.168.0.0,192.168.0.1,192.168.0.127,192.168.0.128
2,96,126,/25,255.255.255.128,128,192.168.0.128,192.168.0.129,192.168.0.255,192.168.1.0
3,60,62,/26,255.255.255.192,64,192.168.1.0,192.168.1.1,192.168.1.63,192.168.1.64
4,312,510,/23,255.255.254.0,512,192.168.0.0,192.168.0.1,192.168.1.255,192.168.2.0
5,108,126,/25,255.255.255.128,128,192.168.2.0,192.168.2.1,192.168.2.127,192.168.2.128
6,72,126,/25,255.255.255.128,128,192.168.2.128,192.168.2.129,192.168.2.255,192.168.3.0
7,120,126,/25,255.255.255.128,128,192.168.3.0,192.168.3.1,192.168.3.127,192.168.3.128
8,12,14,/28,255.255.255.240,16,192.168.3.128,192.168.3.129,192.168.3.143,192.168.3.144
9,96,126,/25,255.255.255.128,128,192.168.3.128,192.168.3.129,192.168.3.255,192.168.4.0
10,12,14,/28,255.255.255.240,16,192.168.4.0,192.168.4.1,192.168.4.15,192.168.4.16
11,312,510,/23,255.255.254.0,512,192.168.4.0,192.168.4.1,192.168.5.255,192.168.6.0
12,480,510,/23,255.255.254.0,512,192.168.6.0,192.168.6.1,192.168.7.255,192.168.8.0
13,12,14,/28,255.255.255.240,16,192.168.8.0,192.168.8.1,192.168.8.15,192.168.8.16
14,180,254,/24,255.255.255.0,256,192.168.8.0,192.168.8.1,192.168.8.255,192.168.9.0
15,12,14,/28,255.255.255.240,16,192.168.9.0,192.168.9.1,192.168.9.15,192.168.9.16
16,384,510,/23,255.255.254.0,512,192.168.8.0,192.168.8.1,192.168.9.255,192.168.10.0
17,192,254,/24,255.255.255.0,256,192.168.10.0,192.168.10.1,192.168.10.255,192.168.11.0
18,240,254,/24,255.255.255.0,256,192.168.11.0,192.168.11.1,192.168.11.255,192.168.12.0
19,480,510,/23,255.255.254.0,512,192.168.12.0,192.168.12.1,192.168.13.255,192.168.14.0
20,108,126,/25,255.255.255.128,128,192.168.14.0,192.168.14.1,192.168.14.127,192.168.14.128
21,12,14,/28,255.255.255.240,16,192.168.14.128,192.168.14.129,192.168.14.143,192.168.14.144
22,132,254,/24,255.255.255.0,256,192.168.14.0,192.168.14.1,192.168.14.255,192.168.15.0
23,48,62,/26,255.255.255.192,64,192.168.15.0,192.168.15.1,192.168.15.63,192.168.15.64
24,12,14,/28,255.255.255.240,16,192.168.15.64,192.168.15.65,192.168.15.79,192.168.15.80
25,12,14,/28,255.255.255.240,16,192.168.15.80,192.168.15.81,192.168.15.95,192.168.15.96
26,384,510,/23,255.255.254.0,512,192.168.14.0,192.168.14.1,192.168.15.255,192.168.16.0
27,144,254,/24,255.255.255.0,256,192.168.16.0,192.168.16.1,192.168.16.255,192.168.17.0
28,264,510,/23,255.255.254.0,512,192.168.16.0,192.168.16.1,192.168.17.255,192.168.18.0
29,108,126,/25,255.255.255.128,128,192.168.18.0,192.168.18.1,192.168.18.127,192.168.18.128
30,72,126,/25,255.255.255.128,128,192.168.18.128,192.168.18.129,192.168.18.255,192.168.19.0
31,36,62,/26,255.255.255.192,64,192.168.19.0,192.168.19.1,192.168.19.63,192.168.19.64
32,48,62,/26,255.255.255.192,64,192.168.19.64,192.168.19.65,192.168.19.127,192.168.19.128
33,216,254,/24,255.255.255.0,256,192.168.19.0,192.168.19.1,192.168.19.255,192.168.20.0
34,12,14,/28,255.255.255.240,16,192.168.20.0,192.168.20.1,192.168.20.15,192.168.20.16
35,48,62,/26,255.255.255.192,64,192.168.20.0,192.168.20.1,192.168.20.63,192.168.20.64
36,468,510,/23,255.255.254.0,512,192.168.20.0,192.168.20.1,192.168.21.255,192.168.22.0
37,72,126,/25,255.255.255.128,128,192.168.22.0,192.168.22.1,192.168.22.127,192.168.22.128
38,48,62,/26,255.255.255.192,64,192.168.22.128,192.168.22.129,192.168.22.191,192.168.22.192
39,132,254,/24,255.255.255.0,256,192.168.22.0,192.168.22.1,192.168.22.255,192.168.23.0
40,72,126,/25,255.255.255.128,128,192.168.23.0,192.168.23.1,192.168.23.127,192.168.23.128
41,60,62,/26,255.255.255.192,64,192.168.23.128,192.168.23.129,192.168.23.191,192.168.23.192
42,24,30,/27,255.255.255.224,32,192.168.23.192,192.168.23.193,192.168.23.223,192.168.23.224
43,228,254,/24,255.255.255.0,256,192.168.23.0,192.168.23.1,192.168.23.255,192.168.24.0
44,84,126,/25,255.255.255.128,128,192.168.24.0,192.168.24.1,192.168.24.127,192.168.24.128
45,96,126,/25,255.255.255.128,128,192.168.24.128,192.168.24.129,192.168.24.255,192.168.25.0
46,60,62,/26,255.255.255.192,64,192.168.25.0,192.168.25.1,192.168.25.63,192.168.25.64
47,204,254,/24,255.255.255.0,256,192.168.25.0,192.168.25.1,192.168.25.255,192.168.26.0
48,48,62,/26,255.255.255.192,64,192.168.26.0,192.168.26.1,192.168.26.63,192.168.26.64
49,12,14,/28,255.255.255.240,16,192.168.26.64,192.168.26.65,192.168.26.79,192.168.26.80
50,48,62,/26,255.255.255.192,64,192.168.26.64,192.168.26.65,192.168.26.127,192.168.26.128
51,120,126,/25,255.255.255.128,128,192.168.26.128,192.168.26.129,192.168.26.255,192.168.27.0
52,12,14,/28,255.255.255.240,16,192.168.27.0,192.168.27.1,192.168.27.15,192.168.27.16
53,132,254,/24,255.255.255.0,256,192.168.27.0,192.168.27.1,192.168.27.255,192.168.28.0
54,12,14,/28,255.255.255.240,16,192.168.28.0,192.168.28.1,192.168.28.15,192.168.28.16
55,84,126,/25,255.255.255.128,128,192.168.28.0,192.168.28.1,192.168.28.127,192.168.28.128
56,72,126,/25,255.255.255.128,128,192.168.28.128,192.168.28.129,192.168.28.255,192.168.29.0
57,96,126,/25,255.255.255.128,128,192.168.29.0,192.168.29.1,192.168.29.127,192.168.29.128
58,24,30,/27,255.255.255.224,32,192.168.29.128,192.168.29.129,192.168.29.159,192.168.29.160
59,36,62,/26,255.255.255.192,64,192.168.29.128,192.168.29.129,192.168.29.191,192.168.29.192
60,48,62,/26,255.255.255.192,64,192.168.29.192,192.168.29.193,192.168.29.255,192.168.30.0
61,36,62,/26,255.255.255.192,64,192.168.30.0,192.168.30.1,192.168.30.63,192.168.30.64
62,24,30,/27,255.255.255.224,32,192.168.30.64,192.168.30.65,192.168.30.95,192.168.30.96
63,36,62,/26,255.255.255.192,64,192.168.30.64,192.168.30.65,192.168.30.127,192.168.30.128
64,216,254,/24,255.255.255.0,256,192.168.30.0,192.168.30.1,192.168.30.255,192.168.31.0
65,12,14,/28,255.255.255.240,16,192.168.31.0,192.168.31.1,192.168.31.15,192.168.31.16
66,12,14,/28,255.255.255.240,16,192.168.31.16,192.168.31.17,192.168.31.31,192.168.31.32
67,12,14,/28,255.255.255.240,16,192.168.31.32,192.168.31.33,192.168.31.47,192.168.31.48
68,12,14,/28,255.255.255.240,16,192.168.31.48,192.168.31.49,192.168.31.63,192.168.31.64
69,12,14,/28,255.255.255.240,16,192.168.31.64,192.168.31.65,192.168.31.79,192.168.31.80
70,12,14,/28,255.255.255.240,16,192.168.31.80,192.168.31.81,192.168.31.95,192.168.31.96
71,12,14,/28,255.255.255.240,16,192.168.31.96,192.168.31.97,192.168.31.111,192.168.31.112
72,84,126,/25,255.255.255.128,128,192.168.31.0,192.168.31.1,192.168.31.127,192.168.31.128
73,36,62,/26,255.255.255.192,64,192.168.31.128,192.168.31.129,192.168.31.191,192.168.31.192
74,72,126,/25,255.255.255.128,128,192.168.31.128,192.168.31.129,192.168.31.255,192.168.32.0
75,12,14,/28,255.255.255.240,16,192.168.32.0,192.168.32.1,192.168.32.15,192.168.32.16
76,12,14,/28,255.255.255.240,16,192.168.32.16,192.168.32.17,192.168.32.31,192.168.32.32
77,12,14,/28,255.255.255.240,16,192.168.32.32,192.168.32.33,192.168.32.47,192.168.32.48
78,12,14,/28,255.255.255.240,16,192.168.32.48,192.168.32.49,192.168.32.63,192.168.32.64
